"","Aldafermin","Cilofexor","Clesacostat","Dapagliflozin","Denifanstat","Efruxifermin","Empagliflozin","Firsocostat","Pegozafermin","Pemvidutide","Pioglitazone","Placebo","PXL065","Resmetirom","Saroglitazar","Seladelpar","Survodutide","TERN-101","TERN-501","TERN-501 + TERN-101","Tirzepatide","Tofogliflozin","Tropifexor","Vitamin E","Vonafexor"
"PXL065","-0.32 (-1.13,  0.50)","0.12 (-0.89,  1.12)","-0.58 (-1.52,  0.37)","0.10 (-1.00,  1.21)","0.11 (-0.75,  0.97)","-1.85 (-2.75, -0.94)","0.18 (-0.80,  1.17)","-0.00 (-1.00,  1.00)","-0.76 (-1.63,  0.11)","-0.76 (-1.80,  0.28)","0.24 (-0.77,  1.25)","0.64 (-0.06,  1.34)","PXL065",".",".",".",".",".",".",".",".",".",".",".","."
"Resmetirom","-0.17 (-0.72,  0.37)","0.26 (-0.54,  1.06)","-0.43 (-1.16,  0.29)","0.25 (-0.68,  1.18)","0.25 (-0.36,  0.86)","-1.70 (-2.37, -1.03)","0.33 (-0.45,  1.10)","0.14 (-0.66,  0.94)","-0.61 (-1.24,  0.01)","-0.62 (-1.46,  0.23)","0.39 (-0.42,  1.20)","0.78 ( 0.43,  1.14)","0.14 (-0.64,  0.93)","Resmetirom",".",".",".",".",".",".",".",".",".",".","."
"Saroglitazar","-0.65 (-1.47,  0.17)","-0.22 (-1.23,  0.79)","-0.91 (-1.86,  0.04)","-0.23 (-1.34,  0.88)","-0.23 (-1.09,  0.64)","-2.18 (-3.09, -1.27)","-0.15 (-1.14,  0.84)","-0.34 (-1.34,  0.67)","-1.09 (-1.97, -0.22)","-1.10 (-2.14, -0.05)","-0.09 (-1.11,  0.92)","0.30 (-0.41,  1.01)","-0.34 (-1.33,  0.66)","-0.48 (-1.27,  0.31)","Saroglitazar",".",".",".",".",".",".",".",".",".","."
"Seladelpar","-1.11 (-1.92, -0.29)","-0.67 (-1.67,  0.33)","-1.37 (-2.31, -0.42)","-0.69 (-1.79,  0.42)","-0.68 (-1.54,  0.17)","-2.64 (-3.54, -1.74)","-0.61 (-1.59,  0.38)","-0.79 (-1.79,  0.21)","-1.55 (-2.42, -0.68)","-1.55 (-2.59, -0.52)","-0.55 (-1.55,  0.46)","-0.15 (-0.85,  0.55)","-0.79 (-1.78,  0.20)","-0.93 (-1.72, -0.15)","-0.45 (-1.45,  0.54)","Seladelpar",".",".",".",".",".",".",".",".","."
"Survodutide","0.79 ( 0.03,  1.55)","1.22 ( 0.26,  2.19)","0.53 (-0.37,  1.43)","1.21 ( 0.14,  2.28)","1.21 ( 0.41,  2.02)","-0.74 (-1.60,  0.12)","1.29 ( 0.35,  2.23)","1.10 ( 0.14,  2.06)","0.35 (-0.48,  1.17)","0.34 (-0.65,  1.34)","1.35 ( 0.38,  2.32)","1.74 ( 1.10,  2.39)","1.11 ( 0.15,  2.06)","0.96 ( 0.23,  1.70)","1.44 ( 0.49,  2.40)","1.90 ( 0.95,  2.85)","Survodutide",".",".",".",".",".",".",".","."
"TERN-101","-0.40 (-1.31,  0.52)","0.04 (-1.05,  1.13)","-0.66 (-1.69,  0.38)","0.02 (-1.16,  1.21)","0.03 (-0.93,  0.98)","-1.93 (-2.92, -0.93)","0.10 (-0.97,  1.17)","-0.08 (-1.17,  1.00)","-0.84 (-1.80,  0.13)","-0.84 (-1.96,  0.28)","0.16 (-0.93,  1.26)","0.56 (-0.26,  1.38)","-0.08 (-1.16,  1.00)","-0.22 (-1.12,  0.67)","0.26 (-0.83,  1.34)","0.71 (-0.37,  1.79)","-1.19 (-2.23, -0.15)","TERN-101","0.34 (-0.40,  1.08)","0.59 (-0.17,  1.36)",".",".",".",".","."
"TERN-501","-0.06 (-0.92,  0.80)","0.38 (-0.67,  1.42)","-0.32 (-1.31,  0.67)","0.36 (-0.78,  1.50)","0.37 (-0.54,  1.27)","-1.59 (-2.53, -0.64)","0.44 (-0.58,  1.47)","0.25 (-0.79,  1.29)","-0.50 (-1.42,  0.41)","-0.50 (-1.58,  0.57)","0.50 (-0.55,  1.55)","0.90 ( 0.14,  1.65)","0.26 (-0.78,  1.29)","0.11 (-0.72,  0.95)","0.59 (-0.44,  1.63)","1.05 ( 0.02,  2.08)","-0.85 (-1.84,  0.14)","0.34 (-0.40,  1.08)","TERN-501","0.26 (-0.43,  0.95)",".",".",".",".","."
"TERN-501 + TERN-101","0.20 (-0.69,  1.08)","0.63 (-0.43,  1.69)","-0.06 (-1.07,  0.94)","0.62 (-0.54,  1.78)","0.62 (-0.30,  1.55)","-1.33 (-2.30, -0.37)","0.70 (-0.35,  1.74)","0.51 (-0.55,  1.57)","-0.25 (-1.18,  0.69)","-0.25 (-1.34,  0.85)","0.76 (-0.31,  1.82)","1.15 ( 0.37,  1.93)","0.51 (-0.54,  1.56)","0.37 (-0.49,  1.23)","0.85 (-0.21,  1.90)","1.30 ( 0.25,  2.35)","-0.59 (-1.60,  0.42)","0.59 (-0.17,  1.36)","0.26 (-0.43,  0.95)","TERN-501 + TERN-101",".",".",".",".","."
"Tirzepatide","2.94 ( 2.07,  3.80)","3.37 ( 2.33,  4.42)","2.68 ( 1.69,  3.67)","3.36 ( 2.21,  4.50)","3.36 ( 2.46,  4.27)","1.41 ( 0.46,  2.36)","3.44 ( 2.41,  4.46)","3.25 ( 2.21,  4.29)","2.50 ( 1.58,  3.41)","2.49 ( 1.42,  3.57)","3.50 ( 2.45,  4.55)","3.89 ( 3.13,  4.65)","3.25 ( 2.22,  4.29)","3.11 ( 2.27,  3.95)","3.59 ( 2.55,  4.63)","4.04 ( 3.01,  5.08)","2.15 ( 1.15,  3.14)","3.33 ( 2.22,  4.45)","3.00 ( 1.93,  4.07)","2.74 ( 1.65,  3.83)","Tirzepatide",".",".",".","."
"Tofogliflozin","-1.06 (-2.26,  0.13)","-0.63 (-1.96,  0.70)","-1.33 (-2.62, -0.04)","-0.64 (-2.06,  0.77)","-0.64 (-1.87,  0.59)","-2.59 (-3.85, -1.34)","-0.56 (-1.88,  0.75)","-0.75 (-2.08,  0.58)","-1.51 (-2.74, -0.27)","-1.51 (-2.87, -0.15)","-0.50 (-1.36,  0.35)","-0.11 (-1.23,  1.01)","-0.75 (-2.07,  0.58)","-0.89 (-2.07,  0.29)","-0.41 (-1.74,  0.92)","0.04 (-1.28,  1.37)","-1.85 (-3.15, -0.56)","-0.67 (-2.06,  0.72)","-1.01 (-2.36,  0.35)","-1.26 (-2.63,  0.11)","-4.00 (-5.36, -2.65)","Tofogliflozin",".",".","."
"Tropifexor","-0.06 (-0.84,  0.72)","0.38 (-0.60,  1.36)","-0.32 (-1.23,  0.60)","0.36 (-0.72,  1.45)","0.37 (-0.46,  1.19)","-1.59 (-2.46, -0.71)","0.44 (-0.51,  1.40)","0.26 (-0.72,  1.23)","-0.50 (-1.34,  0.34)","-0.50 (-1.51,  0.51)","0.50 (-0.48,  1.49)","0.90 ( 0.24,  1.56)","0.26 (-0.71,  1.23)","0.12 (-0.64,  0.87)","0.60 (-0.37,  1.57)","1.05 ( 0.09,  2.01)","-0.85 (-1.77,  0.08)","0.34 (-0.71,  1.39)","0.00 (-1.00,  1.01)","-0.25 (-1.28,  0.77)","-2.99 (-4.00, -1.99)","1.01 (-0.30,  2.31)","Tropifexor",".","."
"Vitamin E","-0.88 (-1.72, -0.04)","-0.45 (-1.47,  0.58)","-1.14 (-2.11, -0.18)","-0.46 (-1.59,  0.66)","-0.46 (-1.34,  0.42)","-2.41 (-3.33, -1.49)","-0.38 (-1.38,  0.62)","-0.57 (-1.59,  0.45)","-1.32 (-2.22, -0.43)","-1.33 (-2.38, -0.27)","-0.32 (-1.35,  0.71)","0.07 (-0.65,  0.80)","-0.57 (-1.58,  0.45)","-0.71 (-1.52,  0.10)","-0.23 (-1.25,  0.79)","0.22 (-0.78,  1.23)","-1.67 (-2.64, -0.70)","-0.49 (-1.58,  0.61)","-0.82 (-1.87,  0.23)","-1.08 (-2.15, -0.01)","-3.82 (-4.87, -2.77)","0.18 (-1.16,  1.52)","-0.83 (-1.81,  0.16)","Vitamin E","."
"Vonafexor","-0.21 (-1.04,  0.62)","0.22 (-0.79,  1.24)","-0.47 (-1.43,  0.48)","0.21 (-0.91,  1.33)","0.21 (-0.66,  1.08)","-1.74 (-2.66, -0.83)","0.29 (-0.71,  1.28)","0.10 (-0.91,  1.11)","-0.66 (-1.54,  0.23)","-0.66 (-1.71,  0.39)","0.35 (-0.67,  1.37)","0.74 ( 0.02,  1.46)","0.10 (-0.90,  1.11)","-0.04 (-0.84,  0.76)","0.44 (-0.57,  1.45)","0.89 (-0.11,  1.90)","-1.00 (-1.97, -0.04)","0.18 (-0.90,  1.27)","-0.15 (-1.20,  0.89)","-0.41 (-1.47,  0.65)","-3.15 (-4.20, -2.11)","0.85 (-0.48,  2.18)","-0.16 (-1.13,  0.82)","0.67 (-0.35,  1.69)","Vonafexor"
